TRAIN_NUMBER,TRAIN_CODE,FROM,TO,START_TIME,END_TIME,ROUTE_MAP,LINE,TYPE,NOT_ON_SUNDAY,15_CAR,12_CAR_ON_SAT
long,String,String,String,String,String,String,String,String,boolean,boolean,boolean
95723,DK 9,,,,,,,,,,
97391,T 95,,,,,,,,,,
95511,AN 21,,,,,,,,,,
95725,K 89,,,,,,,,,,
97117,PK 13,,,,,,,,,,
97393,T 97,,,,,,,,,,
95231,BL 33,,,,,,,,,,
97119,CK 23,,,,,,,,,,
97627,C 27,,,,,,,,,,
95611,TL 43,,,,,,,,,,
97395,T 99,,,,,,,,,,
95007,KP 9,,,,,,,,,,
97121,K 91,,,,,,,,,,
95803,DL 37,,,,,,,,,,
97243,DDL 1 ,,,,,,,,,,
95513,AN 23,,,,,,,,,,
97629,C 29,,,,,,,,,,
95321,A 47,,,,,,,,,,
95727,DK 11,,,,,,,,,,
97123,CK 25,,,,,,,,,,
97397,T 101,,,,,,,,,,
97125,K 93,,,,,,,,,,
12,,,,,,,,,,,
96209,TBL 5,,,,,,,,,,
95613,TL 45,,,,,,,,,,
97245,DL 39,,,,,,,,,,
95233,BL 35,,,,,,,,,,
95729,K 95,,,,,,,,,,
97127,DK 13,,,,,,,,,,
97399,T 103,,,,,,,,,,
95323,A 49,,,,,,,,,,
97129,K 97,,,,,,,,,,
95909,T 105,,,,,,,,,,
97131,K 99,,,,,,,,,,
97631,C 31,,,,,,,,,,
95127,S 33,,,,,,,,,,
97247,DL 41,,,,,,,,,,
95419,N 25,,,,,,,,,,
97133,DK 15,,,,,,,,,,
95325,A 51,,,,,,,,,,
97401,T 107,,,,,,,,,,
95731,K 101,,,,,,,,,,
96641,TL 47,,,,,,,,,,
95515,AN 25,,,,,,,,,,
97403,T 109,,,,,,,,,,
95235,BL 37,,,,,,,,,,
96015,SKP 13,,,,,,,,,,
95615,TL 49,,,,,,,,,,
97249,DL 43,,,,,,,,,,
97405,T 111,,,,,,,,,,
95733,K 103,,,,,,,,,,
13,,,,,,,,,,,
97633,C 33,,,,,,,,,,
95129,S 35,,,,,,,,,,
97135,DK 17,,,,,,,,,,
97407,T 113,,,,,,,,,,
95327,A 53,,,,,,,,,,
95735,DK 19,,,,,,,,,,
96211,TBL 7,,,,,,,,,,
95911,T 115,,,,,,,,,,
97137,K 105,,,,,,,,,,
97251,DL 45,,,,,,,,,,
96115,TS 9,,,,,,,,,,
97409,PT 5,,,,,,,,,,
95237,BL 39,,,,,,,,,,
97139,K 107,,,,,,,,,,
95421,N 27,,,,,,,,,,
97141,K 109,,,,,,,,,,
97411,T 117,,,,,,,,,,
95239,BL 41,,,,,,,,,,
95329,DA 3,,,,,,,,,,
95737,K 111,,,,,,,,,,
97253,DDL 3,,,,,,,,,,
95617,TL 51,,,,,,,,,,
97143,CK 27,,,,,,,,,,
96331,TA 3,,,,,,,,,,
96213,BL 43,,,,,,,,,,
97145,K 113,,,,,,,,,,
95331,A 55,,,,,,,,,,
96017,SKP 15,,,,,,,,,,
14,,,,,,,,,,,
97415,DT 1,,,,,,,,,,
97413,T 119,,,,,,,,,,
95619,TL 53,,,,,,,,,,
95131,S 37,,,,,,,,,,
97417,T 121,,,,,,,,,,
96215,BL 45,,,,,,,,,,
95517,AN 27,,,,,,,,,,
97255,DL 47,,,,,,,,,,
96643,TL 55,,,,,,,,,,
97147,DK 21,,,,,,,,,,
96333,A 57,,,,,,,,,,
97419,T 123,,,,,,,,,,
97257,DL 49,,,,,,,,,,
97635,C 35,,,,,,,,,,
95913,T 125,,,,,,,,,,
96645,TL 57,,,,,,,,,,
96217,TBL 9,,,,,,,,,,
97421,T 127,,,,,,,,,,
96335,A 59,,,,,,,,,,
97149,PK 15,,,,,,,,,,
95739,K 115,,,,,,,,,,
95009,KP 11,,,,,,,,,,
97259,DL 51,,,,,,,,,,
95423,N 29,,,,,,,,,,
97423,T 129,,,,,,,,,,
96519,AN 29,,,,,,,,,,
97151,DK 23,,,,,,,,,,
97425,T 131,,,,,,,,,,
15,,,,,,,,,,,
96219,BL 47,,,,,,,,,,
97261,DL 53,,,,,,,,,,
96647,TL 59,,,,,,,,,,
95133,S 39,,,,,,,,,,
97153,PK 17,,,,,,,,,,
96221,BL 49,,,,,,,,,,
96409,N 31,,,,,,,,,,
97637,C 37,,,,,,,,,,
96337,A 61,,,,,,,,,,
95741,K 117,,,,,,,,,,
96223,BL 51,,,,,,,,,,
97155,PK 19,,,,,,,,,,
97427,T 133,,,,,,,,,,
95743,K 119,,,,,,,,,,
97157,K 121,,,,,,,,,,
95011,KP 13,,,,,,,,,,
96649,TL 61,,,,,,,,,,
97159,K 123,,,,,,,,,,
97639,C 39,,,,,,,,,,
97429,DT 3,,,,,,,,,,
97161,K 125,,,,,,,,,,
16,,,,,,,,,,,
97431,T 135,,,,,,,,,,
97163,K 127,,,,,,,,,,
96019,KP 15,,,,,,,,,,
95241,BL 53,,,,,,,,,,
97641,C 41,,,,,,,,,,
96339,PA 1,,,,,,,,,,
97433,T 137,,,,,,,,,,
96225,BL 55,,,,,,,,,,
97435,T 139,,,,,,,,,,
95425,N 33,,,,,,,,,,
96651,TL 63,,,,,,,,,,
97643,C 43,,,,,,,,,,
96227,PBL 1,,,,,,,,,,
97437,T 141,,,,,,,,,,
96341,A 63,,,,,,,,,,
97439,T 143,,,,,,,,,,
95013,KP 17,,,,,,,,,,
96653,TL 65,,,,,,,,,,
97645,C 45,,,,,,,,,,
96117,S 41,,,,,,,,,,
97441,T 145,,,,,,,,,,
96655,TL 67,,,,,,,,,,
97647,C 47,,,,,,,,,,
96343,A 65,,,,,,,,,,
97443,T 147,,,,,,,,,,
